procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 3413120 172676  16664 990404  228  497  1506  1218    1 1087  3 34 62  0  0
 0  0 3412608 183268  16776 992516  660    0  2496     0 1649 13199 20 54 25  0  0
 0  0 3412608 183228  16784 992504   12    0    12    88 1605 5656  3 23 74  0  0
 0  0 3412608 182976  16784 992512   44    0    44   652 1668 6287  3 28 70  0  0
 2  0 3412608 182724  16784 992512   28    0    28     0 1582 5417  0 19 81  0  0
 1  0 3412352 182724  16784 991888   32    0    32     0 1639 5816  1 24 75  0  0
 1  0 3412352 180468  16784 991432   52    0    52    52 1567 5954  7 24 69  0  0
 2  0 3412352 180216  16784 991432   92    0    92    36 1581 6730  4 24 71  0  0
11  0 3411840 180216  16796 991428  380    0   384    28 1971 7785 11 79  9  2  0
 0  0 3380984 167420  16804 1003328 22784    0 25824   400 1734 7818 12 84  5  0  0
 4  0 3347920 157552  16824 1010112 27572    0 30000    68 1847 8309  6 69 25  0  0
 0  0 3345616 155788  16824 1010184 2392    0  2448     0 1640 8567  3 34 63  0  0
 4  0 3345360 155788  16832 991300   68    0    68    88 1629 7232  3 31 66  0  0
 0  0 3345104 155060  16832 993748  284    0   580     0 2015 9941  7 63 30  0  0
 1  0 3344848 155060  16832 1002172  312    0   324     4 1692 6331  2 34 64  0  0
 0  0 3344848 155060  16832 1002172   32    0    32    12 1750 7262  2 30 68  0  0
 0  0 3344848 155060  16832 1002180   56    0    64     4 1862 8973  3 44 53  0  0
 2  0 3343568 155060  16840 1002172 1104    0  1104   112 1764 7452  3 40 57  0  0
 0  0 3343568 155060  16840 1002180    8    0     8     4 1585 4959  2 29 70  0  0
 0  0 3342032 155060  16848 1000488 1484    0  1492    16 1651 7687  2 27 72  0  0
 0  0 3342032 155060  16848 991544   24    0    24   204 1773 7694  1 33 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 3342032 155060  16848 991544   12    0    12   120 1835 8704  2 34 65  0  0
18  0 3342032 155060  16848 991808   36    0    44     0 1849 8737  3 51 46  0  0
 0  0 3342032 155060  16856 991808   36    0    36    72 1692 7756  2 28 70  0  0
 1  0 3341776 155060  16864 991800  144    0   144   388 1743 7579  0 30 69  1  0
 0  0 3341776 155060  16864 991800   80    0    80     0 1746 8517  2 35 63  0  0
 1  0 3341520 155060  16864 991864  156    0   156     0 1875 8241  5 49 46  0  0
 0  0 3339728 155060  16864 1009300 1952    0  1952     0 1807 8574  7 72 20  0  0
 0  0 3339472 155060  16872 1014408  240    0   256    96 1672 10945  3 29 68  0  0
 0  0 3339472 154852  16872 1014436   24    0    24     0 1643 6312  4 23 73  0  0
